Threshold,Sample Efficiency,Percent Change
0.0,7.519708914493632e-05,0.0
0.01,7.519708914493632e-05,0.0
0.02,7.519708914493632e-05,0.0
0.03,7.519708914493632e-05,0.0
0.04,7.519708914493632e-05,0.0
0.05,7.519708914493632e-05,0.0
0.06,7.519708914493632e-05,0.0
0.07,7.519708914493632e-05,0.0
0.08,7.519708914493632e-05,0.0
0.09,7.519708914493632e-05,0.0
0.1,7.519708914493632e-05,0.0
0.11,7.519708914493632e-05,0.0
0.12,7.519708914493632e-05,0.0
0.13,7.519708914493632e-05,0.0
0.14,7.519708914493632e-05,0.0
0.15,7.541154471046258e-05,0.285191312542578
0.16,7.541154471046258e-05,0.285191312542578
0.17,7.470394098233352e-05,-0.6558075162355009
0.18,7.470394098233352e-05,-0.6558075162355009
0.19,7.473376097652114e-05,-0.6161517336424506
0.2,7.449753373954094e-05,-0.9302958576588591
0.21,7.442181783925515e-05,-1.0309857927969797
0.22,7.362779172043607e-05,-2.086912462097517
0.23,7.321576367224805e-05,-2.634843310050781
0.24,7.217192383284467e-05,-4.022981935192858
0.25,7.278350688753856e-05,-3.209675114878157
0.26,7.207395414425236e-05,-4.153265819457946
0.27,7.061536244415622e-05,-6.0929575238599964
0.28,7.083199181833677e-05,-5.8048753964215045
0.29,7.076254707227076e-05,-5.897225707923809
0.3,7.28347062504488e-05,-3.1415882201692926
0.31,7.691117116902598e-05,2.279452627196652
0.32,7.955574809972037e-05,5.7963134003539505
0.33,7.892158160968247e-05,4.952974253521279
0.34,7.703444696369547e-05,2.4433895509143855
0.35000000000000003,7.624674685235985e-05,1.3958754512430611
0.36,7.594863321448242e-05,0.9994323957108966
0.37,7.596610742899322e-05,1.0226702825885596
0.38,7.660368856416364e-05,1.8705503566982584
0.39,7.456186195602941e-05,-0.8447497052479818
0.4,7.698937087043953e-05,2.3834456172216063
0.41000000000000003,8.104764748539009e-05,7.7802989543615
0.42,8.998134533084605e-05,19.660676169810596
